original_filename,new_filename,destination_folder,original_format,new_format,original_dimensions,final_dimensions,original_file_size,final_file_size,status
photo_1_premium_ground_beef.png,BM-MEAT-001-beef-hero.webp,images/meat/,PNG,WebP,1440x2560,1440x2560,4.49 MB,356 KB,migrated
photo_2_ground_pork.png,BM-MEAT-002-pork-hero.webp,images/meat/,PNG,WebP,1440x2560,1440x2560,4.53 MB,324 KB,migrated
photo_3_ground_lamb.png,BM-MEAT-003-lamb-hero.webp,images/meat/,PNG,WebP,1440x2560,1440x2560,4.62 MB,368 KB,migrated
photo_4_comparison_three_bowls.png,BM-MEAT-004-beef-pork-lamb-comparison.webp,images/meat/,PNG,WebP,1440x2560,1440x2560,5.28 MB,412 KB,migrated
photo_5_correct_mixing.png,BM-MEAT-005-correct-gentle-mixing.webp,images/meat/,PNG,WebP,1440x2560,1440x2560,4.97 MB,318 KB,migrated
photo_6_overmixed_meat.png,BM-MEAT-006-overmixed-meat-mistake.webp,images/meat/,PNG,WebP,1440x2560,1440x2560,4.91 MB,327 KB,migrated
photo_7_perfect_texture_macro.png,BM-MEAT-007-perfect-texture-macro.webp,images/meat/,PNG,WebP,1440x2560,1440x2560,4.93 MB,537 KB,migrated
photo_8_ready_to_shape.png,BM-MEAT-008-ready-to-shape.webp,images/meat/,PNG,WebP,1440x2560,1440x2560,4.77 MB,254 KB,migrated
photo_1_portioning_scale.png,BM-PATTY-001-portioning-150g-scale.webp,images/patty/,PNG,WebP,1440x2560,1440x2560,4.80 MB,284 KB,migrated
photo_2_correct_patty_shape.png,BM-PATTY-002-correct-gentle-shaping.webp,images/patty/,PNG,WebP,1440x2560,1440x2560,5.19 MB,358 KB,migrated
photo_3_overcompressed_patty.png,BM-PATTY-003-overcompressed-mistake.webp,images/patty/,PNG,WebP,1440x2560,1440x2560,5.05 MB,327 KB,migrated
photo_4_thumb_dimple.png,BM-PATTY-004-thumb-dimple.webp,images/patty/,PNG,WebP,1440x2560,1440x2560,4.87 MB,293 KB,migrated
photo_5_no_dimple.png,BM-PATTY-005-no-dimple-comparison.webp,images/patty/,PNG,WebP,1440x2560,1440x2560,4.68 MB,270 KB,migrated
photo_6_three_thicknesses.png,BM-PATTY-006-three-thicknesses.webp,images/patty/,PNG,WebP,1440x2560,1440x2560,5.45 MB,433 KB,migrated
photo_7_macro_edge_detail.png,BM-PATTY-007-macro-edge-detail.webp,images/patty/,PNG,WebP,1440x2560,1440x2560,4.01 MB,237 KB,migrated
photo_8_ready_for_cooking.png,BM-PATTY-008-ready-for-cooking.webp,images/patty/,PNG,WebP,1440x2560,1440x2560,4.68 MB,265 KB,migrated
photo_01_first_contact.png,BM-COOK-001-first-contact.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.56 MB,269 KB,migrated
photo_02_fifteen_seconds.png,BM-COOK-002-fifteen-seconds-sear.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.42 MB,253 KB,migrated
photo_03_first_crust.png,BM-COOK-003-first-crust-forming.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.61 MB,240 KB,migrated
photo_04_ideal_flip_timing.png,BM-COOK-004-ideal-flip-timing.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.59 MB,288 KB,migrated
photo_05_freshly_flipped.png,BM-COOK-005-freshly-flipped.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.58 MB,277 KB,migrated
photo_06_second_side_crust.png,BM-COOK-006-second-side-crust.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.67 MB,293 KB,migrated
photo_07_finished_crust.png,BM-COOK-007-finished-crust.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.42 MB,250 KB,migrated
photo_08_macro_crust.png,BM-COOK-008-macro-crust-texture.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.60 MB,373 KB,migrated
photo_09_crosslight_crust.png,BM-COOK-009-crosslight-crust-detail.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.76 MB,452 KB,migrated
photo_10_perfect_no_cheese.png,BM-COOK-010-perfect-patty-no-cheese.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.53 MB,361 KB,migrated
photo_11_cold_pan.png,BM-COOK-011-cold-pan-mistake.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.46 MB,248 KB,migrated
photo_12_smoking_hot_pan.png,BM-COOK-012-smoking-hot-pan-mistake.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.90 MB,331 KB,migrated
photo_13_pale_crust.png,BM-COOK-013-pale-crust-mistake.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.71 MB,322 KB,migrated
photo_14_burnt_crust.png,BM-COOK-014-burnt-crust-mistake.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.58 MB,275 KB,migrated
photo_15_pressed_burger.png,BM-COOK-015-pressed-juices-mistake.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.65 MB,282 KB,migrated
photo_16_sticking_pan.png,BM-COOK-016-sticking-pan-mistake.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.46 MB,316 KB,migrated
photo_17_grey_exterior.png,BM-COOK-017-grey-exterior-mistake.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.60 MB,247 KB,migrated
photo_18_split_burger.png,BM-COOK-018-split-patty-mistake.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.67 MB,301 KB,migrated
photo_19_uneven_cooking.png,BM-COOK-019-uneven-cooking-mistake.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,4.81 MB,308 KB,migrated
photo_20_correct_vs_incorrect.png,BM-COOK-020-correct-vs-incorrect.webp,images/cooking/,PNG,WebP,1440x2560,1440x2560,5.48 MB,460 KB,migrated
photo_21_american_before.png,BM-CHEESE-001-american-before-melt.webp,images/cheese/,PNG,WebP,1440x2560,1440x2560,4.52 MB,241 KB,migrated
photo_22_american_melt.png,BM-CHEESE-002-perfect-american-melt.webp,images/cheese/,PNG,WebP,1440x2560,1440x2560,4.65 MB,349 KB,migrated
photo_23_cheddar_melt.png,BM-CHEESE-003-sharp-cheddar-melt.webp,images/cheese/,PNG,WebP,1440x2560,1440x2560,4.36 MB,223 KB,migrated
photo_24_swiss_melt.png,BM-CHEESE-004-swiss-melt.webp,images/cheese/,PNG,WebP,1440x2560,1440x2560,4.52 MB,234 KB,migrated
