asset_id,production_path,source_dimensions,final_dimensions,webp_size,status
BM-GARLIC-001,images/flavours/BM-GARLIC-001.webp,1440x2560,1440x2560,205 KB,ok
BM-GARLIC-002,images/flavours/BM-GARLIC-002.webp,1440x2560,1440x2560,195 KB,ok
BM-GARLIC-003,images/flavours/BM-GARLIC-003.webp,1440x2560,1440x2560,228 KB,ok
BM-GARLIC-004,images/flavours/BM-GARLIC-004.webp,1440x2560,1440x2560,200 KB,ok
BM-GARLIC-005,images/flavours/BM-GARLIC-005.webp,1440x2560,1440x2560,273 KB,ok
BM-HERO-BEEF-PAIRING-001,images/heroes/BM-HERO-BEEF-PAIRING-001.webp,1440x2560,1440x2560,396 KB,ok
BM-HERO-BEEFLAMB-PAIRING-001,images/heroes/BM-HERO-BEEFLAMB-PAIRING-001.webp,1440x2560,1440x2560,325 KB,ok
BM-HERO-BEEFPORK-PAIRING-001,images/heroes/BM-HERO-BEEFPORK-PAIRING-001.webp,1440x2560,1440x2560,329 KB,ok
BM-HERO-CHICKEN-PAIRING-001,images/heroes/BM-HERO-CHICKEN-PAIRING-001.webp,1440x2560,1440x2560,427 KB,ok
BM-HERO-LAMB-PAIRING-001,images/heroes/BM-HERO-LAMB-PAIRING-001.webp,1440x2560,1440x2560,377 KB,ok
BM-HERO-PORK-PAIRING-001,images/heroes/BM-HERO-PORK-PAIRING-001.webp,1440x2560,1440x2560,352 KB,ok
BM-MEAT-CHICKEN-001,images/meat/BM-MEAT-CHICKEN-001.webp,1440x2560,1440x2560,185 KB,ok
BM-MEAT-CHICKEN-002,images/meat/BM-MEAT-CHICKEN-002.webp,1440x2560,1440x2560,221 KB,ok
BM-MEAT-CHICKEN-003,images/patty/BM-MEAT-CHICKEN-003.webp,1440x2560,1440x2560,196 KB,ok
BM-MEAT-CHICKEN-004,images/cooking/BM-MEAT-CHICKEN-004.webp,1440x2560,1440x2560,162 KB,ok
BM-MEAT-CHICKEN-005,images/heroes/BM-MEAT-CHICKEN-005.webp,1440x2560,1440x2560,381 KB,ok
BM-MEAT-CHICKEN-006,images/cross-sections/BM-MEAT-CHICKEN-006.webp,1440x2560,1440x2560,355 KB,ok
BM-MEAT-CHICKEN-007,images/cooking/BM-MEAT-CHICKEN-007.webp,1440x2560,1440x2560,323 KB,ok (regenerated for chicken colour fidelity)
BM-MEAT-CHICKEN-008,images/meat/BM-MEAT-CHICKEN-008.webp,1440x2560,1440x2560,359 KB,ok
BM-ONION-001,images/flavours/BM-ONION-001.webp,1440x2560,1440x2560,135 KB,ok
BM-ONION-002,images/flavours/BM-ONION-002.webp,1440x2560,1440x2560,219 KB,ok
BM-ONION-003,images/flavours/BM-ONION-003.webp,1440x2560,1440x2560,241 KB,ok
BM-ONION-004,images/flavours/BM-ONION-004.webp,1440x2560,1440x2560,273 KB,ok
BM-ONION-005,images/flavours/BM-ONION-005.webp,1440x2560,1440x2560,290 KB,ok
BM-ONION-006,images/flavours/BM-ONION-006.webp,1440x2560,1440x2560,258 KB,ok
BM-SEASONING-001,images/flavours/BM-SEASONING-001.webp,1440x2560,1440x2560,183 KB,ok
BM-SEASONING-002,images/flavours/BM-SEASONING-002.webp,1440x2560,1440x2560,221 KB,ok
BM-SEASONING-003,images/flavours/BM-SEASONING-003.webp,1440x2560,1440x2560,303 KB,ok
BM-SEASONING-004,images/flavours/BM-SEASONING-004.webp,1440x2560,1440x2560,467 KB,ok
BM-SEASONING-005,images/flavours/BM-SEASONING-005.webp,1440x2560,1440x2560,410 KB,ok
BM-SEASONING-006,images/flavours/BM-SEASONING-006.webp,1440x2560,1440x2560,437 KB,ok
BM-SEASONING-007,images/flavours/BM-SEASONING-007.webp,1440x2560,1440x2560,436 KB,ok
